Motivo;Sitio;Asignación;Dias y Hora Servicio
ALARMA - CERCO;135 Estación de Bombeo Cloacal ZC-36 EVITA - Calle El Espinillo (contra las vías del Ferrocarril) - Laferrere - La Matanza;Movil 18 Glez Catan - 115005-4118;Todos los dias - 24 hs
ALARMA;136 Estación de Bombeo Cloacal ZC-02 B° Municipal - Av. Cristiania 6000 y Calle 600  - Ciudad Evita - La Matanza.- (El Camping)  ;Movil 18 Glez Catan - 115005-4118;Todos los dias - 24 hs
ALARMA;137 Estación de Bombeo Cloacal ZC-09 17 de Agosto - Campo de Mayo Nº 6915 esq. 7 de Agosto - Villa Bosch - 3 de Febrero;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA;140 Estación de Bombeo Cloacal Colector Oeste Tigre - Federico Ozanan N° 690 y Leonardo Da Vinci - Los Troncos del Talar - Tigre;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA - CERCO;141 Planta Osmosis Inversa Santa Catalina - Castex al 1700 entre Zuviría y Urquiza - Monte Grande - Esteban Echeverria;Movil 6 Luis Guillon - 113559-5887;Todos los dias - 24 hs
ALARMA;142 Estación de Bombeo Cloacal Los Berros - Av. Gaspar Campos 587 (continua por camino interno) San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias - 24 hs
ALARMA;143 Estación de Bombeo Cloacal Villa Domínico - Calle Cassazza y Carlos Gardel - Avellaneda;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;147 Estación de Bombeo Cloacal Zona P5 - Derqui esq. Roldán - El Palomar - Morón;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA - CERCO;149 Estación de Bombeo Cloacal ZN22 - Blas Parera entre Gral. Lavalle y Agustín Alvarez - Vicente Lopez;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;154 Planta de Osmosis La Unión - Bernardo Houssay y Las Heras - Ezeiza;Movil 4 Ezeiza - 113955-6058;Todos los dias - 24 hs
ALARMA;155 Estación de Rebombeo Caseros - Calle Cavassa Fte al 2451 entre Valentín Gomez y las vías FGSM - Caseros;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA - CERCO;156 Estación de Bombeo Cloacal Quilmes Norte - Liniers entre 169 y 170 - Quilmes;Móvil 22 – Bernal - 1120314941;L a V 16 pm a 08 am - SDF 24 hs
ALARMA;157 Planta de Tratamiento de Osmosis Inversa San Ignacio - 20 de Junio entre Fernando de Toro y Thomas A. Edison  - Esteban Echeverria;Movil 6 Luis Guillon - 113559-5887;Todos los dias - 24 hs
ALARMA;158 Estación de Bombeo Cloacal Altos II - Calle Rivadavia 1687 casi esq. Pedro Suarez - Esteban Echeverría;Movil 6 Luis Guillon - 113559-5887;Todos los dias - 24 hs
ALARMA;159 Estación de Bombeo Cloacal Predio Alberdi - Alberdi 1500 esq. Belgrano Villa Monte - Quilmes;Móvil 22 – Bernal - 1120314941;Todos los dias - 24 hs
ALARMA;160 Planta de Intercambio Iónico LO042 - Av. Hipólito Yrigoyen 11881 - entre Fray Mamerto Esquiú y Sta. Lucia - Turdera;Movil 1 La Lata - 113241-1045;Todos los dias - 24 hs
